ref_interne,marque,designation,annee,kilometrage,carburant,type_transaction,prix_vente,mensualite_location,date_export
MM-0003,Audi,e-tron Sportback (50 Quattro Business Edition),2022,66361,Electrique,VENTE,9398.74,,2026-06-20
MM-0070,Lexus,RX (450h Business Line),2021,43411,ESSENCE,Loc. LD,,190.38,2026-06-20
MM-0044,Hyundai,i30 (1.5 T-GDI 48V N Line Sky),2019,113581,Ess.,location,,87.49,2026-06-20
MM-0023,Ford,Puma (1.0 EcoBoost 125hp Titanium X),2021,113358,Essence,Vente,3636.6,,2026-06-20
MM-0104,Porsche,Panamera (Turbo S),2021,85096,Ess.,LOCATION,,609.66,2026-06-20
MM-0079,Mazda,MX-30 (First Edition),2022,-500,electrique,Loc. LD,,191.28,2026-06-20
MM-0029,Ford,Puma (1.0 EcoBoost 125hp ST-Line),2018,146163,Ess.,VENTE,3522.6,,2026-06-20
MM-0068,Land Rover,Range Rover Velar (P400 SE),2022,,Ess.,vente,13321.44,,2026-06-20
MM-0034,Honda,e (Advance),2018,92494,electrique,Vente,4500.0,,2026-06-20
MM-0119,Tesla,Model Y (Performance AWD),2022,64689,Electrique,vente,9887.08,,2026-06-20
MM-0077,Lexus,RX (450h Executive Line),2020,89588,ESSENCE,LOCATION LD,,212.12,2026-06-20
MM-0108,Subaru,Forester (2.0i E-BOXER Comfort),2021,101203,essence,LOCATION,,118.49,2026-06-20
MM-0038,Honda,e (specs),2020,34751,Électrique,location,,86.25,2026-06-20
MM-0028,Ford,Puma (1.0 EcoBoost 125hp ST-Line),2024,37841,essence,location,,335.53,2026-06-20
MM-0114,Tesla,Model Y (Long Range AWD),2019,123719,Electrique,VENTE,7680.0,,2026-06-20
MM-0095,Mercedes,E-class (-Benz E 300),2022,79057,Ess.,VENTE,7993.68,,2026-06-20
MM-0020,Ferrari,SF90 Stradale (specs),2018,95649,Essence,Vente,54699.24,,2026-06-20
MM-0087,Mercedes,E-class (-Benz E 200),2019,113545,Essence,vente,7054.44,,2026-06-20
MM-0120,Toyota,C-HR (1.2T Active),2018,163748,essence,LOCATION LD,,68.62,2026-06-20
MM-0106,Porsche,Panamera (Turbo S),2022,63991,Essence,Vente,35125.05,,2026-06-20
MM-0090,Mercedes,E-class (-Benz E 200),2020,89949,Ess.,LOCATION LD,,146.97,2026-06-20
MM-0050,Jaguar,E-Pace (P160 R-Dynamic HSE),2022,52629,ESSENCE,location,,266.54,2026-06-20
MM-0039,Honda,e (specs),2022,70405,ELECTRIQUE,vente,4140.0,,2026-06-20
